"Town","FIPS","Year","Admission Type","Measure Type","Variable","Value"
"Andover","0901301080","2010","Mental Health","Number","DMHAS Admissions",17
"Andover","0901301080","2010","Mental Health","Percent","DMHAS Admissions",41.46
"Andover","0901301080","2010","Mental Health","Rate (per 10,000)","DMHAS Admissions",52.37
"Andover","0901301080","2010","Mental Health","Rate (per 10,000)","Margins of Error",2.21
"Andover","0901301080","2010","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2010","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Andover","0901301080","2010","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Andover","0901301080","2010","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Andover","0901301080","2010","Substance Abuse","Number","DMHAS Admissions",22
"Andover","0901301080","2010","Substance Abuse","Percent","DMHAS Admissions",53.66
"Andover","0901301080","2010","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",67.78
"Andover","0901301080","2010","Substance Abuse","Rate (per 10,000)","Margins of Error",2.86
"Andover","0901301080","2010","Total","Number","DMHAS Admissions",41
"Andover","0901301080","2010","Total","Rate (per 10,000)","DMHAS Admissions",126.31
"Andover","0901301080","2010","Total","Rate (per 10,000)","Margins of Error",5.33
"Andover","0901301080","2011","Mental Health","Number","DMHAS Admissions",19
"Andover","0901301080","2011","Mental Health","Percent","DMHAS Admissions",41.3
"Andover","0901301080","2011","Mental Health","Rate (per 10,000)","DMHAS Admissions",60.45
"Andover","0901301080","2011","Mental Health","Rate (per 10,000)","Margins of Error",3.35
"Andover","0901301080","2011","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2011","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Andover","0901301080","2011","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Andover","0901301080","2011","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Andover","0901301080","2011","Substance Abuse","Number","DMHAS Admissions",24
"Andover","0901301080","2011","Substance Abuse","Percent","DMHAS Admissions",52.17
"Andover","0901301080","2011","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",76.36
"Andover","0901301080","2011","Substance Abuse","Rate (per 10,000)","Margins of Error",4.23
"Andover","0901301080","2011","Total","Number","DMHAS Admissions",46
"Andover","0901301080","2011","Total","Rate (per 10,000)","DMHAS Admissions",146.36
"Andover","0901301080","2011","Total","Rate (per 10,000)","Margins of Error",8.1
"Andover","0901301080","2012","Mental Health","Number","DMHAS Admissions",29
"Andover","0901301080","2012","Mental Health","Percent","DMHAS Admissions",46.03
"Andover","0901301080","2012","Mental Health","Rate (per 10,000)","DMHAS Admissions",91.05
"Andover","0901301080","2012","Mental Health","Rate (per 10,000)","Margins of Error",4.12
"Andover","0901301080","2012","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2012","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Andover","0901301080","2012","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Andover","0901301080","2012","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Andover","0901301080","2012","Substance Abuse","Number","DMHAS Admissions",27
"Andover","0901301080","2012","Substance Abuse","Percent","DMHAS Admissions",42.86
"Andover","0901301080","2012","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",84.77
"Andover","0901301080","2012","Substance Abuse","Rate (per 10,000)","Margins of Error",3.83
"Andover","0901301080","2012","Total","Number","DMHAS Admissions",63
"Andover","0901301080","2012","Total","Rate (per 10,000)","DMHAS Admissions",197.8
"Andover","0901301080","2012","Total","Rate (per 10,000)","Margins of Error",8.94
"Andover","0901301080","2013","Mental Health","Number","DMHAS Admissions",30
"Andover","0901301080","2013","Mental Health","Percent","DMHAS Admissions",50
"Andover","0901301080","2013","Mental Health","Rate (per 10,000)","DMHAS Admissions",96.93
"Andover","0901301080","2013","Mental Health","Rate (per 10,000)","Margins of Error",4.54
"Andover","0901301080","2013","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2013","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Andover","0901301080","2013","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Andover","0901301080","2013","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Andover","0901301080","2013","Substance Abuse","Number","DMHAS Admissions",26
"Andover","0901301080","2013","Substance Abuse","Percent","DMHAS Admissions",43.33
"Andover","0901301080","2013","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",84.01
"Andover","0901301080","2013","Substance Abuse","Rate (per 10,000)","Margins of Error",3.94
"Andover","0901301080","2013","Total","Number","DMHAS Admissions",60
"Andover","0901301080","2013","Total","Rate (per 10,000)","DMHAS Admissions",193.86
"Andover","0901301080","2013","Total","Rate (per 10,000)","Margins of Error",9.08
"Andover","0901301080","2014","Mental Health","Number","DMHAS Admissions",41
"Andover","0901301080","2014","Mental Health","Percent","DMHAS Admissions",63.08
"Andover","0901301080","2014","Mental Health","Rate (per 10,000)","DMHAS Admissions",128.89
"Andover","0901301080","2014","Mental Health","Rate (per 10,000)","Margins of Error",6.12
"Andover","0901301080","2014","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2014","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Andover","0901301080","2014","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Andover","0901301080","2014","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Andover","0901301080","2014","Substance Abuse","Number","DMHAS Admissions",22
"Andover","0901301080","2014","Substance Abuse","Percent","DMHAS Admissions",33.85
"Andover","0901301080","2014","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",69.16
"Andover","0901301080","2014","Substance Abuse","Rate (per 10,000)","Margins of Error",3.28
"Andover","0901301080","2014","Total","Number","DMHAS Admissions",65
"Andover","0901301080","2014","Total","Rate (per 10,000)","DMHAS Admissions",204.34
"Andover","0901301080","2014","Total","Rate (per 10,000)","Margins of Error",9.7
"Andover","0901301080","2015","Mental Health","Number","DMHAS Admissions",44
"Andover","0901301080","2015","Mental Health","Percent","DMHAS Admissions",63.77
"Andover","0901301080","2015","Mental Health","Rate (per 10,000)","DMHAS Admissions",136.77
"Andover","0901301080","2015","Mental Health","Rate (per 10,000)","Margins of Error",7.02
"Andover","0901301080","2015","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2015","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Andover","0901301080","2015","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Andover","0901301080","2015","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Andover","0901301080","2015","Substance Abuse","Number","DMHAS Admissions",21
"Andover","0901301080","2015","Substance Abuse","Percent","DMHAS Admissions",30.43
"Andover","0901301080","2015","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",65.28
"Andover","0901301080","2015","Substance Abuse","Rate (per 10,000)","Margins of Error",3.35
"Andover","0901301080","2015","Total","Number","DMHAS Admissions",69
"Andover","0901301080","2015","Total","Rate (per 10,000)","DMHAS Admissions",214.49
"Andover","0901301080","2015","Total","Rate (per 10,000)","Margins of Error",11
"Andover","0901301080","2016","Mental Health","Number","DMHAS Admissions",29
"Andover","0901301080","2016","Mental Health","Percent","DMHAS Admissions",46.77
"Andover","0901301080","2016","Mental Health","Rate (per 10,000)","DMHAS Admissions",90.31
"Andover","0901301080","2016","Mental Health","Rate (per 10,000)","Margins of Error",4.16
"Andover","0901301080","2016","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2016","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Andover","0901301080","2016","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Andover","0901301080","2016","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Andover","0901301080","2016","Substance Abuse","Number","DMHAS Admissions",27
"Andover","0901301080","2016","Substance Abuse","Percent","DMHAS Admissions",43.55
"Andover","0901301080","2016","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",84.09
"Andover","0901301080","2016","Substance Abuse","Rate (per 10,000)","Margins of Error",3.88
"Andover","0901301080","2016","Total","Number","DMHAS Admissions",62
"Andover","0901301080","2016","Total","Rate (per 10,000)","DMHAS Admissions",193.09
"Andover","0901301080","2016","Total","Rate (per 10,000)","Margins of Error",8.9
"Andover","0901301080","2017","Mental Health","Number","DMHAS Admissions",26
"Andover","0901301080","2017","Mental Health","Percent","DMHAS Admissions",43.33
"Andover","0901301080","2017","Mental Health","Rate (per 10,000)","DMHAS Admissions",81.79
"Andover","0901301080","2017","Mental Health","Rate (per 10,000)","Margins of Error",3.42
"Andover","0901301080","2017","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2017","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Andover","0901301080","2017","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Andover","0901301080","2017","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Andover","0901301080","2017","Substance Abuse","Number","DMHAS Admissions",29
"Andover","0901301080","2017","Substance Abuse","Percent","DMHAS Admissions",48.33
"Andover","0901301080","2017","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",91.22
"Andover","0901301080","2017","Substance Abuse","Rate (per 10,000)","Margins of Error",3.82
"Andover","0901301080","2017","Total","Number","DMHAS Admissions",60
"Andover","0901301080","2017","Total","Rate (per 10,000)","DMHAS Admissions",188.74
"Andover","0901301080","2017","Total","Rate (per 10,000)","Margins of Error",7.9
"Andover","0901301080","2018","Mental Health","Number","DMHAS Admissions",29
"Andover","0901301080","2018","Mental Health","Percent","DMHAS Admissions",44.62
"Andover","0901301080","2018","Mental Health","Rate (per 10,000)","DMHAS Admissions",89.98
"Andover","0901301080","2018","Mental Health","Rate (per 10,000)","Margins of Error",3.41
"Andover","0901301080","2018","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2018","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Andover","0901301080","2018","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Andover","0901301080","2018","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Andover","0901301080","2018","Substance Abuse","Number","DMHAS Admissions",32
"Andover","0901301080","2018","Substance Abuse","Percent","DMHAS Admissions",49.23
"Andover","0901301080","2018","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",99.29
"Andover","0901301080","2018","Substance Abuse","Rate (per 10,000)","Margins of Error",3.76
"Andover","0901301080","2018","Total","Number","DMHAS Admissions",65
"Andover","0901301080","2018","Total","Rate (per 10,000)","DMHAS Admissions",201.68
"Andover","0901301080","2018","Total","Rate (per 10,000)","Margins of Error",7.63
"Andover","0901301080","2019","Mental Health","Number","DMHAS Admissions",-9999
"Andover","0901301080","2019","Mental Health","Percent","DMHAS Admissions",-9999
"Andover","0901301080","2019","Mental Health","Rate (per 10,000)","DMHAS Admissions",-9999
"Andover","0901301080","2019","Mental Health","Rate (per 10,000)","Margins of Error",-9999
"Andover","0901301080","2019","Mental Health and Substance Abuse","Number","DMHAS Admissions",-9999
"Andover","0901301080","2019","Mental Health and Substance Abuse","Percent","DMHAS Admissions",-9999
"Andover","0901301080","2019","Mental Health and Substance Abuse","Rate (per 10,000)","DMHAS Admissions",-9999
"Andover","0901301080","2019","Mental Health and Substance Abuse","Rate (per 10,000)","Margins of Error",-9999
"Andover","0901301080","2019","Substance Abuse","Number","DMHAS Admissions",20
"Andover","0901301080","2019","Substance Abuse","Percent","DMHAS Admissions",55.56
"Andover","0901301080","2019","Substance Abuse","Rate (per 10,000)","DMHAS Admissions",62.44
"Andover","0901301080","2019","Substance Abuse","Rate (per 10,000)","Margins of Error",2.42
