Town,MH Only,SA Only,MH & SA,Total
Andover,29,32,4,65
Ansonia,496,440,61,997
Ashford,43,59,9,111
Avon,32,75,5,112
Barkhamsted,34,65,5,104
Beacon Falls,29,99,4,132
Berlin,60,244,18,322
Bethany,12,37,2,51
Bethel,85,259,13,357
Bethlehem,32,44,4,80
Bloomfield,329,208,15,552
Bolton,59,40,8,107
Bozrah,36,40,7,83
Branford,490,353,57,900
Bridgeport,2297,2711,456,5464
Bridgewater,6,17,1,24
Bristol,427,1170,113,1710
Brookfield,64,222,11,297
Brooklyn,149,123,17,289
Burlington,16,90,5,111
Canaan,45,78,5,128
Canterbury,45,68,5,118
Canton,30,81,2,113
Chaplin,32,43,4,79
Cheshire,99,190,12,301
Chester,29,30,4,63
Clinton,74,186,20,280
Colchester,84,180,19,283
Colebrook,19,17,-,36
Columbia,39,58,8,105
Cornwall,7,6,-,13
Coventry,116,116,27,259
Cromwell,69,191,11,271
Danbury,703,1459,120,2282
Darien,30,50,2,82
Deep River,29,69,1,99
Derby,187,287,29,503
Durham,22,57,5,84
East Granby,68,32,6,106
East Haddam,25,83,8,116
East Hampton,80,179,10,269
East Hartford,1748,675,168,2591
East Haven,506,513,82,1101
East Lyme,72,204,21,297
East Windsor,267,117,36,420
Eastford,13,14,1,28
Easton,18,44,1,63
Ellington,141,96,15,252
Enfield,1360,472,199,2031
Essex,42,56,5,103
Fairfield,135,298,18,451
Farmington,55,210,6,271
Franklin,14,13,4,31
Glastonbury,256,174,29,459
Goshen,33,31,2,66
Granby,87,39,8,134
Greenwich,156,206,11,373
Griswold,184,258,21,463
Groton,305,459,51,815
Guilford,169,153,25,347
Haddam,34,70,4,108
Hamden,618,480,79,1177
Hampton,22,54,2,78
Hartford,3574,3935,608,8117
Hartland,3,15,2,20
Harwinton,70,76,3,149
Hebron,71,76,6,153
Kent,30,37,2,69
Killingly,548,383,54,985
Killingworth,17,45,3,65
Lebanon,41,99,19,159
Ledyard,80,226,13,319
Lisbon,-,3,-,3
Litchfield,141,121,13,275
Lyme,-,2,-,2
Madison,85,136,18,239
Manchester,2041,664,151,2856
Mansfield,130,171,28,329
Marlborough,36,57,10,103
Meriden,1125,973,153,2251
Middlebury,26,63,3,92
Middlefield,17,32,4,53
Middletown,825,948,164,1937
Milford,700,645,85,1430
Monroe,29,134,4,167
Montville,170,260,24,454
Morris,22,36,-,58
Naugatuck,299,541,36,876
New Britain,1230,1960,296,3486
New Canaan,45,49,5,99
New Fairfield,26,152,8,186
New Hartford,58,82,8,148
New Haven,3321,2645,757,6723
New London,790,787,161,1738
New Milford,332,487,45,864
Newington,236,306,35,577
Newtown,70,329,14,413
Norfolk,20,31,1,52
North Branford,93,146,26,265
North Canaan,4,6,-,10
North Haven,199,160,23,382
North Stonington,25,54,2,81
Norwalk,1357,892,112,2361
Norwich,1150,954,135,2239
Old Lyme,27,98,5,130
Old Saybrook,37,107,11,155
Orange,73,97,10,180
Oxford,49,152,7,208
Plainfield,253,269,33,555
Plainville,115,333,26,474
Plymouth,60,226,12,298
Pomfret,32,28,1,61
Portland,68,118,13,199
Preston,40,56,1,97
Prospect,51,88,6,145
Putnam,216,180,21,417
Redding,18,56,1,75
Ridgefield,36,169,4,209
Rocky Hill,173,164,15,352
Roxbury,13,21,3,37
Salem,16,41,2,59
Salisbury,19,40,4,63
Scotland,7,13,1,21
Seymour,196,254,33,483
Sharon,13,30,4,47
Shelton,300,564,48,912
Sherman,15,38,1,54
Simsbury,106,103,9,218
Somers,157,73,15,245
South Windsor,224,141,21,386
Southbury,61,160,7,228
Southington,133,497,43,673
Sprague,36,60,3,99
Stafford,184,173,35,392
Stamford,1249,916,89,2254
Sterling,30,57,4,91
Stonington,130,278,14,422
Stratford,257,671,60,988
Suffield,194,65,26,285
Thomaston,83,133,9,225
Thompson,117,94,9,220
Tolland,95,85,9,189
Torrington,1483,1063,179,2725
Trumbull,79,238,13,330
Vernon,583,334,43,960
Voluntown,18,42,5,65
Wallingford,261,449,52,762
Warren,13,22,1,36
Washington,24,54,6,84
Waterbury,3174,2909,324,6407
Waterford,98,254,23,375
Watertown,197,315,18,530
West Hartford,385,372,32,789
West Haven,815,833,144,1792
Westbrook,33,98,10,141
Weston,13,46,5,64
Westport,109,89,10,208
Wethersfield,194,220,24,438
Willington,56,62,7,125
Wilton,34,62,3,99
Winchester,343,309,38,690
Windham,759,1029,181,1969
Windsor,500,219,27,746
Windsor Locks,304,150,51,505
Wolcott,116,193,9,318
Woodbridge,31,56,10,97
Woodbury,52,87,10,149
Woodstock,60,54,6,120
Unknown,1594,1205,169,2968
Total,48039,50554,6947,105540
